dataset,case,kind,metric,n,missing,min,q25,median,q75,max,mean
Task09_Spleen,pad,valid_control,file_io_seconds,3,38,0.12127209999925981,0.20854729999973642,0.29582250000021304,0.44011070000033214,0.5843989000004512,0.33383116666664137
Task09_Spleen,pad,valid_control,file_witness_seconds,3,38,0.05822780000016792,0.11938260000079026,0.1805374000014126,0.29224970000086614,0.4039620000003197,0.2142424000006334
Task09_Spleen,pad,valid_control,file_unavailable_elapsed_seconds,0,41,,,,,,
Task09_Spleen,premature_integer_storage,own_wrapper_mutation,producer_seconds,41,0,0.003233699999327655,0.005981500000416418,0.008412799999859999,0.010880899999392568,0.016925699999774224,0.008906395121767873
Task09_Spleen,premature_integer_storage,own_wrapper_mutation,witness_seconds,41,0,0.26456169999983103,0.572961400001077,0.8753340000002936,1.2348617000006925,2.37717530000009,0.9965397804877817
Task09_Spleen,premature_integer_storage,own_wrapper_mutation,file_io_seconds,3,38,0.4645306000002165,0.4871759999996357,0.5098213999990548,0.6172915499992087,0.7247616999993625,0.566371233332878
Task09_Spleen,premature_integer_storage,own_wrapper_mutation,file_witness_seconds,3,38,0.9042649999992136,1.0488370499997473,1.1934091000002809,1.3175753000004988,1.4417415000007168,1.1798052000000705
Task09_Spleen,premature_integer_storage,own_wrapper_mutation,file_unavailable_elapsed_seconds,0,41,,,,,,
Task09_Spleen,roi_truncation,support_policy_control,producer_seconds,41,0,0.000588800001423806,0.0007795999990776181,0.001032100000884384,0.0012074000005668495,0.0025960999992094003,0.001125531707346942
Task09_Spleen,roi_truncation,support_policy_control,witness_seconds,41,0,0.005569400000240421,0.014164899999741465,0.02449930000148015,0.037851200000659446,0.14752299999963725,0.031706556097471944
Task09_Spleen,roi_truncation,support_policy_control,file_io_seconds,3,38,0.0909525000006397,0.1428505000003497,0.19474850000005972,0.2903763500007699,0.38600420000148006,0.22390173333405983
Task09_Spleen,roi_truncation,support_policy_control,file_witness_seconds,3,38,0.015309400001569884,0.03610075000051438,0.05689209999945888,0.10257389999969746,0.14825569999993604,0.07348573333365493
Task09_Spleen,roi_truncation,support_policy_control,file_unavailable_elapsed_seconds,0,41,,,,,,
Task09_Spleen,shared_origin_shift,own_wrapper_mutation,producer_seconds,41,0,0.00043229999937466346,0.0006613999994442565,0.0009486999988439493,0.001390900000842521,0.0028889000004710397,0.001123429268373889
Task09_Spleen,shared_origin_shift,own_wrapper_mutation,witness_seconds,41,0,0.027914700000110315,0.05109660000016447,0.07213659999979427,0.1170892999998614,0.3560809999999037,0.09947536341474561
Task09_Spleen,shared_origin_shift,own_wrapper_mutation,file_io_seconds,3,38,0.11404079999920214,0.1948205999997299,0.27560040000025765,0.4075124999999389,0.5394245999996201,0.3096885999996933
Task09_Spleen,shared_origin_shift,own_wrapper_mutation,file_witness_seconds,3,38,0.05158350000056089,0.10458160000052885,0.15757970000049681,0.26327450000007957,0.3689692999996623,0.19271083333357333
Task09_Spleen,shared_origin_shift,own_wrapper_mutation,file_unavailable_elapsed_seconds,0,41,,,,,,
Task09_Spleen,stale_crop_origin,own_wrapper_mutation,producer_seconds,41,0,0.0005177999992156401,0.0006715999988955446,0.000847799999974086,0.0011694999993778765,0.002684400000362075,0.0010015073170418364
Task09_Spleen,stale_crop_origin,own_wrapper_mutation,witness_seconds,41,0,0.10569279999981518,0.267836900000475,0.31805809999968915,0.39025450000008277,1.319389800000863,0.37301284146336156
Task09_Spleen,stale_crop_origin,own_wrapper_mutation,file_io_seconds,3,38,1.1487840000008873,1.5000307000009343,1.8512774000009813,2.966252799999893,4.0812281999988045,2.360429866666891
Task09_Spleen,stale_crop_origin,own_wrapper_mutation,file_witness_seconds,3,38,0.2033633999999438,0.3123024999995323,0.4212415999991208,0.7476160999995045,1.0739905999998882,0.5661985333329843
Task09_Spleen,stale_crop_origin,own_wrapper_mutation,file_unavailable_elapsed_seconds,0,41,,,,,,
Task09_Spleen,wrong_image_kernel,own_wrapper_mutation,producer_seconds,41,0,0.013536600001316401,0.030467900000076042,0.049077699999543256,0.060374700000465964,0.14345500000126776,0.051062360975576176
Task09_Spleen,wrong_image_kernel,own_wrapper_mutation,witness_seconds,41,0,0.25422489999982645,0.5800300999999308,0.968839899998784,1.2646249999997963,2.4381885000002512,1.0249107073169155
Task09_Spleen,wrong_image_kernel,own_wrapper_mutation,file_io_seconds,3,38,0.40780780000022787,0.44547235000027285,0.48313690000031784,0.5876175499997771,0.6920981999992364,0.527680966666594
Task09_Spleen,wrong_image_kernel,own_wrapper_mutation,file_witness_seconds,3,38,0.9106670999990456,1.0537906499994278,1.19691419999981,1.3264483499997368,1.4559824999996636,1.1878545999995065
Task09_Spleen,wrong_image_kernel,own_wrapper_mutation,file_unavailable_elapsed_seconds,0,41,,,,,,
